id,Player,BR_player_id,From,To,Pos,Ht,Wt,Birth Date,College,active,shoots,draft_team,pick_order,draft_year_type
4100,Brady Walker,walkebr01,1949,1952,F-C,6-6,205,"March 15, 1921",Brigham Young University,0,Right,Providence Steam Rollers,,
4101,Chet Walker*,walkech01,1963,1975,F-G,6-6,212,"February 22, 1940",Bradley University,0,Right,Syracuse Nationals,"2nd round (5th pick,12th overall)",1962 NBA Draft
4102,Darrell Walker,walkeda01,1984,1993,G,6-4,180,"March 9, 1961",University of Arkansas,0,Right,New York Knicks,"1st round (12th pick,12th overall)",1983 NBA Draft
4103,Foots Walker,walkefo01,1975,1984,G,6-0,184,"May 21, 1951",State University of West Georgia,0,Right,Cleveland Cavaliers,"3rd round (2nd pick,38th overall)",1974 NBA Draft
4104,Henry Walker,walkebi01,2009,2015,F,6-6,220,"October 9, 1987",Kansas State University,0,Right,Washington Wizards,"2nd round (17th pick,47th overall)",2008 NBA Draft
4105,Horace Walker,walkeho01,1962,1962,F,6-3,210,"April 17, 1937",Michigan State University,0,Right,St. Louis Hawks,"4th round (6th pick,30th overall)",1960 NBA Draft
4106,Jimmy Walker,walkeji01,1968,1976,G,6-3,195,"April 8, 1944",Providence College,0,Right,Detroit Pistons,"1st round (1st pick,1st overall)",1967 NBA Draft
4107,Kemba Walker,walkeke02,2012,2017,G,6-1,172,"May 8, 1990",University of Connecticut,1,Right,Charlotte Bobcats,"1st round (9th pick,9th overall)",2011 NBA Draft
4108,Kenny Walker,walkeke01,1987,1995,F,6-8,210,"August 18, 1964",University of Kentucky,0,Right,New York Knicks,"1st round (5th pick,5th overall)",1986 NBA Draft
4109,Phil Walker,walkeph01,1978,1978,G,6-3,180,"March 20, 1956",Millersville University of Pennsylvania,0,Right,Washington Bullets,"2nd round (17th pick,39th overall)",1977 NBA Draft
4110,Samaki Walker,walkesa01,1997,2006,F,6-9,240,"February 25, 1976",University of Louisville,0,Right,Dallas Mavericks,"1st round (9th pick,9th overall)",1996 NBA Draft
4111,Wally Walker,walkewa01,1977,1984,F,6-7,190,"July 18, 1954",University of Virginia,0,Right,Portland Trail Blazers,"1st round (5th pick,5th overall)",1976 NBA Draft
4112,John Wall,walljo01,2011,2017,G,6-4,195,"September 6, 1990",University of Kentucky,1,Right,Washington Wizards,"1st round (1st pick,1st overall)",2010 NBA Draft
4113,Ben Wallace,wallabe01,1997,2012,F-C,6-9,240,"September 10, 1974",Virginia Union University,0,Right,,,
4114,Gerald Wallace,wallage01,2002,2015,F,6-7,215,"July 23, 1982",University of Alabama,0,Right,Sacramento Kings,"1st round (25th pick,25th overall)",2001 NBA Draft
4115,John Wallace,wallajo01,1997,2004,F,6-8,225,"February 9, 1974",Syracuse University,0,Right,New York Knicks,"1st round (18th pick,18th overall)",1996 NBA Draft
4116,Rasheed Wallace,wallara01,1996,2013,F-C,6-10,225,"September 17, 1974",University of North Carolina,0,Right,Washington Bullets,"1st round (4th pick,4th overall)",1995 NBA Draft
4117,Red Wallace,wallare01,1947,1947,G,6-1,185,"July 12, 1918",University of Scranton,0,Right,,,
4118,Dwight Waller,walledw01,1969,1972,F,6-6,220,"October 5, 1945",Tennessee State University,0,Right,Atlanta Hawks,"10th round (11th pick,131st overall)",1968 NBA Draft
4119,Jamie Waller,walleja01,1988,1988,G,6-4,215,"November 20, 1964",Virginia Union University,0,Right,New Jersey Nets,"3rd round (2nd pick,48th overall)",1987 NBA Draft
4120,Taurean Waller-Prince,princta02,2017,2017,F,6-8,220,"March 22, 1994",Baylor University,1,Right,Utah Jazz,"1st round (12th pick,12th overall)",2016 NBA Draft
4121,Jim Walsh,walshji01,1958,1958,F,6-4,195,"August 29, 1930",Stanford University,0,Right,Baltimore Bullets,,
4122,Matt Walsh,walshma01,2006,2006,G-F,6-6,205,"December 2, 1982",University of Florida,0,Right,,,
4123,Rex Walters,waltere01,1994,2000,G,6-4,190,"March 12, 1970",University of Kansas,0,Left,New Jersey Nets,"1st round (16th pick,16th overall)",1993 NBA Draft
4124,Paul Walther,walthpa01,1950,1955,G-F,6-2,160,"March 23, 1927",University of Tennessee,0,Left,Minneapolis Lakers,,
4125,Isaac Walthour,walthis01,1954,1954,G,5-11,163,"August 25, 1930",,0,Right,,,
4126,Bill Walton*,waltobi01,1975,1987,C-F,6-11,210,"November 5, 1952","University of California, Los Angeles",0,Right,Portland Trail Blazers,"1st round (1st pick,1st overall)",1974 NBA Draft
4127,Lloyd Walton,waltoll01,1977,1981,G,6-0,160,"November 23, 1953",Marquette University,0,Right,Milwaukee Bucks,"3rd round (6th pick,40th overall)",1976 NBA Draft
4128,Luke Walton,waltolu01,2004,2013,F,6-8,235,"March 28, 1980",University of Arizona,0,Right,Los Angeles Lakers,"2nd round (3rd pick,32nd overall)",2003 NBA Draft
4129,Bobby Wanzer*,wanzebo01,1949,1957,G,6-0,170,"June 4, 1921",Seton Hall University,0,Right,Rochester Royals,"1st round (10th pick,10th overall)",1948 BAA Draft
4130,Perry Warbington,warbipe01,1975,1975,G,6-2,165,"September 7, 1952",Georgia Southern University,0,Right,Philadelphia 76ers,"9th round (1st pick,145th overall)",1974 NBA Draft
4131,Charlie Ward,wardch01,1995,2005,G,6-2,190,"October 12, 1970",Florida State University,0,Right,New York Knicks,"1st round (26th pick,26th overall)",1994 NBA Draft
4132,Gerry Ward,wardge01,1964,1967,G,6-4,195,"September 6, 1941",Boston College,0,Right,St. Louis Hawks,"1st round (5th pick,5th overall)",1963 NBA Draft
4133,Henry Ward,wardhe01,1976,1977,G-F,6-4,195,"January 30, 1952",Jackson State University,0,Right,Cleveland Cavaliers,"6th round (9th pick,99th overall)",1975 NBA Draft
4134,Casper Ware,wareca01,2014,2014,G,5-10,175,"January 17, 1990","California State University, Long Beach",0,Right,,,
4135,Jim Ware,wareji01,1967,1969,F,6-7,210,"May 2, 1944",Oklahoma City University,0,Right,Cincinnati Royals,"3rd round (6th pick,26th overall)",1966 NBA Draft
4136,Ben Warley,warlebe01,1963,1970,F-G,6-5,200,"September 4, 1936",Tennessee State University,0,Right,Syracuse Nationals,"1st round (6th pick,6th overall)",1961 NBA Draft
4137,Bob Warlick,warlibo01,1966,1970,G-F,6-5,200,"March 20, 1941",Pepperdine University,0,Right,,,
4138,Cornell Warner,warneco01,1971,1977,F-C,6-9,220,"August 12, 1948",Jackson State University,0,Right,Buffalo Braves,"2nd round (7th pick,24th overall)",1970 NBA Draft
4139,Bob Warren,warrebo01,1969,1976,G,6-5,190,"July 17, 1946",Vanderbilt University,0,Right,Atlanta Hawks,"4th round (11th pick,47th overall)",1968 NBA Draft
4140,John Warren,warrejo01,1970,1974,G-F,6-3,180,"July 7, 1947",St. John's University,0,Right,New York Knicks,"1st round (11th pick,11th overall)",1969 NBA Draft
4141,T.J. Warren,warretj01,2015,2017,F,6-8,230,"September 5, 1993",North Carolina State University,1,Right,Phoenix Suns,"1st round (14th pick,14th overall)",2014 NBA Draft
4142,Willie Warren,warrewi01,2011,2011,G,6-4,203,"October 22, 1989",University of Oklahoma,0,Right,Los Angeles Clippers,"2nd round (24th pick,54th overall)",2010 NBA Draft
4143,Bryan Warrick,warribr01,1983,1986,G,6-5,195,"July 22, 1959",Saint Joseph's University,0,Right,Washington Bullets,"2nd round (2nd pick,25th overall)",1982 NBA Draft
4144,Hakim Warrick,warriha01,2006,2013,F,6-9,219,"July 8, 1982",Syracuse University,0,Right,Memphis Grizzlies,"1st round (19th pick,19th overall)",2005 NBA Draft
4145,Chris Washburn,washbch01,1987,1988,C,6-11,225,"May 13, 1965",North Carolina State University,0,Right,Golden State Warriors,"1st round (3rd pick,3rd overall)",1986 NBA Draft
4146,Bobby Washington,washibo01,1970,1972,G,5-11,175,"July 11, 1947",Eastern Kentucky University,0,Right,,,
4147,Darius Washington,washida01,2008,2008,G,6-2,195,"December 6, 1985",University of Memphis,0,Right,,,
4148,Donald Washington,washido01,1975,1976,F,6-8,210,"April 22, 1952",University of North Carolina,0,Right,New York Knicks,"5th round (8th pick,80th overall)",1975 NBA Draft
4149,Duane Washington,washidu01,1988,1993,G,6-4,195,"August 31, 1964",Middle Tennessee State University,0,Right,Washington Bullets,"2nd round (13th pick,36th overall)",1987 NBA Draft
4150,Eric Washington,washier01,1998,1999,G,6-4,190,"March 23, 1974",University of Alabama,0,Right,Orlando Magic,"2nd round (18th pick,46th overall)",1997 NBA Draft
4151,Jim Washington,washiji01,1966,1976,F-C,6-6,210,"July 1, 1943",Villanova University,0,Right,St. Louis Hawks,"1st round (6th pick,6th overall)",1965 NBA Draft
4152,Kermit Washington,washike01,1974,1988,F-C,6-8,230,"September 17, 1951",American University,0,Right,Los Angeles Lakers,"1st round (5th pick,5th overall)",1973 NBA Draft
4153,Pearl Washington,washipe01,1987,1989,G,6-2,190,"January 6, 1964",Syracuse University,0,Right,New Jersey Nets,"1st round (13th pick,13th overall)",1986 NBA Draft
4154,Richard Washington,washiri01,1977,1982,F-C,6-11,220,"July 15, 1955","University of California, Los Angeles",0,Right,Kansas City Kings,"1st round (3rd pick,3rd overall)",1976 NBA Draft
4155,Stan Washington,washist01,1975,1975,G,6-4,190,"January 23, 1952",University of San Diego,0,Right,Washington Bullets,"4th round (12th pick,66th overall)",1974 NBA Draft
4156,Trooper Washington,washitr01,1968,1973,F-C,6-7,215,"April 21, 1944",Cheyney University of Pennsylvania,0,Right,Cincinnati Royals,"5th round (7th pick,50th overall)",1967 NBA Draft
4157,Wilson Washington,washiwi01,1978,1979,F-C,6-9,227,"August 3, 1955",Old Dominion University,0,Right,Philadelphia 76ers,"2nd round (3rd pick,25th overall)",1977 NBA Draft
4158,Darryl Watkins,watkida01,2008,2012,C,6-11,258,"November 8, 1984",Syracuse University,0,Right,,,
4159,Bobby Watson,watsobo01,1955,1955,G,6-0,160,"March 22, 1930",University of Kentucky,0,Right,Milwaukee Hawks,,
4160,C.J. Watson,watsocj01,2008,2017,G,6-2,175,"April 17, 1984",University of Tennessee,1,Right,,,
4161,Earl Watson,watsoea01,2002,2014,G,6-1,195,"June 12, 1979","University of California, Los Angeles",0,Right,Seattle SuperSonics,"2nd round (11th pick,40th overall)",2001 NBA Draft
4162,Jamie Watson,watsoja01,1995,1999,F,6-7,190,"February 23, 1972",University of South Carolina,0,Right,Utah Jazz,"2nd round (20th pick,47th overall)",1994 NBA Draft
4163,Ron Watts,wattsro01,1966,1967,F,6-6,210,"May 21, 1943",Wake Forest University,0,Right,Boston Celtics,"2nd round (9th pick,17th overall)",1965 NBA Draft
4164,Samuel Watts,wattssa01,1971,1971,G,6-3,185,"March 14, 1948",Florida Agricultural and Mechanical University,0,Right,,,
4165,Slick Watts,wattssl01,1974,1979,G,6-1,175,"July 22, 1951",Xavier University of Louisiana,0,Right,,,
4166,Maalik Wayns,waynsma01,2013,2014,G,6-2,200,"May 2, 1991",Villanova University,1,Right,,,
4167,David Wear,wearda01,2015,2015,F,6-10,230,"September 21, 1990","University of California, Los Angeles",0,Right,,,
4168,Travis Wear,weartr01,2015,2015,F,6-10,230,"September 21, 1990","University of California, Los Angeles",1,Right,,,
4169,Clarence Weatherspoon,weathcl01,1993,2005,F,6-6,240,"September 8, 1970",University of Southern Mississippi,0,Right,Philadelphia 76ers,"1st round (9th pick,9th overall)",1992 NBA Draft
4170,Nick Weatherspoon,weathni01,1974,1980,F,6-7,195,"July 20, 1950",University of Illinois at Urbana-Champaign,0,Right,Capital Bullets,"1st round (13th pick,13th overall)",1973 NBA Draft
4171,Kyle Weaver,weaveky01,2009,2011,G,6-6,201,"February 18, 1986",Washington State University,0,Right,Charlotte Bobcats,"2nd round (8th pick,38th overall)",2008 NBA Draft
4172,Jeff Webb,webbje01,1971,1972,G,6-4,170,"July 6, 1948",Kansas State University,0,Right,,,
4173,Marcus Webb,webbma01,1993,1993,F-C,6-9,255,"May 9, 1970",University of Alabama,0,Right,,,
4174,Spud Webb,webbsp01,1986,1998,G,5-6,133,"July 13, 1963",North Carolina State University,0,Right,Detroit Pistons,"4th round (17th pick,87th overall)",1985 NBA Draft
4175,Chris Webber,webbech01,1994,2008,F-C,6-9,245,"March 1, 1973",University of Michigan,0,Right,Orlando Magic,"1st round (1st pick,1st overall)",1993 NBA Draft
4176,Briante Weber,weberbr01,2016,2017,G,6-2,165,"December 29, 1992",Virginia Commonwealth University,1,Right,,,
4177,Jake Weber,weberja01,1947,1947,C,6-6,225,"March 18, 1918",Purdue University,0,Right,,,
4178,Elnardo Webster,webstel01,1972,1972,F,6-5,190,"March 6, 1948",Saint Peter's College,0,Right,New York Knicks,"4th round (11th pick,54th overall)",1969 NBA Draft
4179,Jeff Webster,webstje01,1996,1996,F,6-8,232,"February 19, 1971",University of Oklahoma,0,Right,Miami Heat,"2nd round (13th pick,40th overall)",1994 NBA Draft
4180,Martell Webster,webstma02,2006,2015,G-F,6-7,230,"December 4, 1986",,0,Right,Portland Trail Blazers,"1st round (6th pick,6th overall)",2005 NBA Draft
4181,Marvin Webster,webstma01,1976,1987,C,7-1,225,"April 13, 1952",Morgan State University,0,Right,Atlanta Hawks,"1st round (3rd pick,3rd overall)",1975 NBA Draft
4182,Scott Wedman,wedmasc01,1975,1987,F-G,6-7,215,"July 29, 1952",University of Colorado,0,Right,Kansas City-Omaha Kings,"1st round (6th pick,6th overall)",1974 NBA Draft
4183,Sonny Weems,weemsso01,2009,2016,G-F,6-6,205,"July 8, 1986",University of Arkansas,0,Right,Chicago Bulls,"2nd round (9th pick,39th overall)",2008 NBA Draft
4184,Dick Wehr,wehrdi01,1949,1949,F,6-4,180,"December 9, 1925",Rice University,0,Right,Indianapolis Jets,,
4185,Brant Weidner,weidnbr01,1984,1984,F,6-9,230,"October 28, 1960",College of William & Mary,0,Right,San Antonio Spurs,"4th round (20th pick,90th overall)",1983 NBA Draft
4186,Bob Weiss,weissbo01,1966,1977,G,6-2,180,"May 7, 1942",Pennsylvania State University,0,Left,Philadelphia 76ers,"3rd round (5th pick,22nd overall)",1965 NBA Draft
4187,Rick Weitzman,weitzri01,1968,1968,G,6-2,175,"April 30, 1946",Northeastern University,0,Right,Boston Celtics,"10th round (8th pick,110th overall)",1967 NBA Draft
4188,Bonzi Wells,wellsbo01,1999,2008,G-F,6-5,210,"September 28, 1976",Ball State University,0,Right,Detroit Pistons,"1st round (11th pick,11th overall)",1998 NBA Draft
4189,Bubba Wells,wellsbu01,1998,1998,F,6-5,230,"July 26, 1974",Austin Peay State University,0,Right,Dallas Mavericks,"2nd round (6th pick,34th overall)",1997 NBA Draft
4190,Owen Wells,wellsow01,1975,1975,F,6-7,200,"December 9, 1950",University of Detroit Mercy,0,Right,Houston Rockets,"5th round (5th pick,77th overall)",1974 NBA Draft
4191,Ralph Wells,wellsra01,1963,1963,G,6-1,180,"September 3, 1940",Northwestern University,0,Right,,,
4192,Chris Welp,welpch01,1988,1990,C,7-0,245,"January 2, 1964",University of Washington,0,Left,Philadelphia 76ers,"1st round (16th pick,16th overall)",1987 NBA Draft
4193,Jiri Welsch,welscji01,2003,2006,G,6-7,208,"January 27, 1980",,0,Right,Philadelphia 76ers,"1st round (16th pick,16th overall)",2002 NBA Draft
4194,Bill Wennington,wennibi01,1986,2000,C,7-0,245,"April 26, 1963",St. John's University,0,Right,Dallas Mavericks,"1st round (16th pick,16th overall)",1985 NBA Draft
4195,Matt Wenstrom,wenstma01,1994,1994,C,7-1,250,"November 4, 1970",University of North Carolina,0,Right,,,
4196,Robert Werdann,werdaro01,1993,1997,C,6-11,250,"September 12, 1970",St. John's University,0,Right,Denver Nuggets,"2nd round (19th pick,46th overall)",1992 NBA Draft
4197,Ray Wertis,wertira01,1947,1948,G,5-11,,"January 1, 1922",St. John's University,0,Right,,,
4198,David Wesley,wesleda01,1994,2007,G,6-0,190,"November 14, 1970",Baylor University,0,Right,,,
4199,Walt Wesley,weslewa01,1967,1976,C,6-11,220,"January 25, 1945",University of Kansas,0,Right,Cincinnati Royals,"1st round (6th pick,6th overall)",1966 NBA Draft
4200,David West,westda01,2004,2017,F,6-9,250,"August 29, 1980",Xavier University,1,Right,New Orleans Hornets,"1st round (18th pick,18th overall)",2003 NBA Draft
4201,Delonte West,westde01,2005,2012,G,6-4,180,"July 26, 1983",Saint Joseph's University,0,Left,Boston Celtics,"1st round (24th pick,24th overall)",2004 NBA Draft
4202,Doug West,westdo01,1990,2001,G-F,6-6,200,"May 27, 1967",Villanova University,0,Right,Minnesota Timberwolves,"2nd round (11th pick,38th overall)",1989 NBA Draft
4203,Jerry West*,westje01,1961,1974,G,6-2,175,"May 28, 1938",West Virginia University,0,Right,Los Angeles Lakers,"1st round (2nd pick,2nd overall)",1960 NBA Draft
4204,Mario West,westma02,2008,2011,G,6-5,210,"June 19, 1984",Georgia Institute of Technology,0,Right,,,
4205,Mark West,westma01,1984,2000,C-F,6-10,230,"November 5, 1960",Old Dominion University,0,Right,Dallas Mavericks,"2nd round (6th pick,30th overall)",1983 NBA Draft
4206,Roland West,westro01,1968,1968,G,6-4,178,"June 6, 1944",University of Cincinnati,0,Right,Baltimore Bullets,"20th round (1st pick,162nd overall)",1967 NBA Draft
4207,Dexter Westbrook,westbde01,1968,1968,F,6-8,190,,Providence College,0,Right,Baltimore Bullets,"5th round (1st pick,44th overall)",1967 NBA Draft
4208,Russell Westbrook,westbru01,2009,2017,G,6-3,200,"November 12, 1988","University of California, Los Angeles",1,Right,Seattle SuperSonics,"1st round (4th pick,4th overall)",2008 NBA Draft
4209,Paul Westphal,westppa01,1973,1984,G,6-4,195,"November 30, 1950",University of Southern California,0,Right,Boston Celtics,"1st round (10th pick,10th overall)",1972 NBA Draft
4210,John Wetzel,wetzejo01,1968,1976,G-F,6-5,190,"October 22, 1944",Virginia Polytechnic Institute and State University,0,Right,Los Angeles Lakers,"8th round (7th pick,75th overall)",1966 NBA Draft
4211,Robert Whaley,whalero01,2006,2006,C,6-10,260,"April 16, 1982",Walsh University,0,Right,Utah Jazz,"2nd round (21st pick,51st overall)",2005 NBA Draft
4212,Ennis Whatley,whatlen01,1984,1997,G,6-3,177,"August 11, 1962",University of Alabama,0,Right,Kansas City Kings,"1st round (13th pick,13th overall)",1983 NBA Draft
4213,DeJuan Wheat,wheatde01,1998,1999,G,6-0,165,"October 14, 1973",University of Louisville,0,Right,Los Angeles Lakers,"2nd round (23rd pick,51st overall)",1997 NBA Draft
4214,Clinton Wheeler,wheelcl01,1988,1989,G,6-1,185,"October 27, 1959",William Paterson University,0,Right,Kansas City Kings,"7th round (12th pick,150th overall)",1981 NBA Draft
4215,Tyson Wheeler,wheelty01,1999,1999,G,5-10,165,"October 8, 1975",University of Rhode Island,0,Right,Toronto Raptors,"2nd round (18th pick,47th overall)",1998 NBA Draft
4216,Skippy Whitaker,whitask01,1955,1955,G,6-1,180,"August 29, 1930",University of Kentucky,0,Right,Indianapolis Olympians,,
4217,D.J. White,whitedj01,2009,2014,F,6-9,251,"August 31, 1986",Indiana University,0,Right,Detroit Pistons,"1st round (29th pick,29th overall)",2008 NBA Draft
4218,Eric White,whiteer01,1988,1989,F,6-8,200,"December 30, 1965",Pepperdine University,0,Right,Detroit Pistons,"3rd round (19th pick,65th overall)",1987 NBA Draft
4219,Herb White,whitehe01,1971,1971,G,6-2,195,"June 15, 1948",University of Georgia,0,Right,Atlanta Hawks,"8th round (14th pick,133rd overall)",1970 NBA Draft
4220,Hubie White,whitehu01,1963,1971,G-F,6-4,205,"January 26, 1940",Villanova University,0,Right,San Francisco Warriors,"2nd round (7th pick,14th overall)",1962 NBA Draft
4221,Jahidi White,whiteja01,1999,2005,F-C,6-9,290,"February 19, 1976",Georgetown University,0,Right,Washington Wizards,"2nd round (14th pick,43rd overall)",1998 NBA Draft
4222,James White,whiteja02,2007,2013,G-F,6-7,200,"October 21, 1982",University of Cincinnati,0,Right,Portland Trail Blazers,"2nd round (1st pick,31st overall)",2006 NBA Draft
4223,Jo Jo White*,whitejo01,1970,1981,G,6-3,190,"November 16, 1946",University of Kansas,0,Right,Boston Celtics,"1st round (9th pick,9th overall)",1969 NBA Draft
4224,Okaro White,whiteok01,2017,2017,F,6-8,204,"August 13, 1992",Florida State University,1,Right,,,
4225,Randy White,whitera01,1990,1994,F,6-8,240,"November 4, 1967",Louisiana Tech University,0,Right,Dallas Mavericks,"1st round (8th pick,8th overall)",1989 NBA Draft
4226,Rodney White,whitero02,2002,2005,F,6-9,238,"June 28, 1980",University of North Carolina at Charlotte,0,Right,Detroit Pistons,"1st round (9th pick,9th overall)",2001 NBA Draft
4227,Rory White,whitero01,1983,1987,F,6-8,210,"August 16, 1959",University of South Alabama,0,Right,Phoenix Suns,"4th round (17th pick,86th overall)",1982 NBA Draft
